File Version;BWSpec 3.27
Date;2017-08-22 14:46:06
title;ZEWN+LZX
model;BRC112P+BTC261E_512
c code;ZEWN+LZX
operator;
port1;0
baud1;3
pixel_start;0
pixel_end;1844
step;1
units;1
bkcolor;16777215
show_mode;5
data_mode;0
pixel_mode;0
intigration times;150
average number;1
spectrometer_type ;0
yaxis;1
yaxis_min;-0.200000000000045
yaxis_max;0.5
xaxis;0
xaxis_min;0
xaxis_max;1844
irrands_DispWLMin;0
irrands_DispWLMax;0
yaxis_min_6;0
yaxis_max_6;5
irradiance_unit;0
coefs_a0;0
coefs_a1;0
coefs_a2;0
coefs_a3;0
coefs_b0;0
coefs_b1;0
coefs_b2;0
coefs_b3;0
all_data_save;1
select_option;-1
interval_time;1
pixel_num;1845
sel_pixel_start;0
sel_pixel_end;1844
sel_pixel_delta;1
dark_compensate;0
dark_compensate_value_1;0
dark_compensate_value_2;0
dark_compensate_value_3;0
monitor pixel_0;0
monitor pixel_1;0
monitor pixel_2;0
monitor pixel_3;0
monitor pixel_4;0
monitor pixel_5;0
vertical_select_flag;0
vertical_line3;0
vertical_line4;0
vertical_line3_wv;0
vertical_line4_wv;0
vertical_line_flag;0
vertical_line_ratio;0
laser_wavelength;0
overlay_js;0
Relative Intensity Correction Flag;0
combined channel;1
Pixel;Wavelength;Dark;Reference;Raw data #1;Dark Subtracted #1;%TR #1;Absorbance #1;Raw data #2;Dark Subtracted #2;%TR #2;Absorbance #2;Raw data #3;Dark Subtracted #3;%TR #3;Absorbance #3;Lamp FitCurve;Irradiance Ratio;Irradiance_1(W/cm^2/nm);Irradiance_2(W/cm^2/nm);Irradiance_3(W/cm^2/nm)
45;369.35;1160.6000;1466.6800;1424.20;263.6000;86.1213;0.0649;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;  ;0.0;0.0
46;369.78;1167.8800;1497.0800;1447.88;280.0000;85.0547;0.0703;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;  ;0.0;0.0
47;370.22;1169.9600;1533.8000;1479.56;309.6000;85.0923;0.0701;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;  ;0.0;0.0
48;370.65;1174.2800;1568.9200;1510.76;336.4800;85.2625;0.0692;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;  ;0.0;0.0
49;371.08;1176.2000;1612.1200;1547.64;371.4400;85.2083;0.0695;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;  ;0.0;0.0
50;371.51;1179.6400;1663.4000;1588.76;409.1200;84.5709;0.0728;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;  ;0.0;0.0
51;371.94;1185.0000;1724.6800;1634.84;449.8400;83.3531;0.0791;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;  ;0.0;0.0
52;372.38;1190.2000;1799.4000;1689.00;498.8000;81.8779;0.0868;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;  ;0.0;0.0
53;372.81;1197.0800;1886.3600;1755.08;558.0000;80.9540;0.0918;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;  ;0.0;0.0
54;373.24;1202.0400;1971.2400;1823.24;621.2000;80.7592;0.0928;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;  ;0.0;0.0
55;373.67;1209.2400;2073.7200;1903.08;693.8400;80.2610;0.0955;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;  ;0.0;0.0
56;374.10;1215.8800;2189.0000;1991.80;775.9200;79.7353;0.0983;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;  ;0.0;0.0
57;374.53;1220.2000;2313.6400;2088.68;868.4800;79.4264;0.1000;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;  ;0.0;0.0
58;374.97;1230.8400;2446.9200;2191.56;960.7200;79.0014;0.1024;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;  ;0.0;0.0
59;375.40;1238.0400;2596.4400;2310.76;1072.7200;78.9694;0.1025;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;  ;0.0;0.0
60;375.83;1253.2400;2766.6000;2444.92;1191.6800;78.7440;0.1038;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;  ;0.0;0.0
61;376.26;1261.8800;2952.6800;2594.44;1332.5600;78.8124;0.1034;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;  ;0.0;0.0
62;376.69;1277.0800;3169.0800;2760.60;1483.5200;78.4101;0.1056;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;  ;0.0;0.0
63;377.12;1293.2400;3402.2000;2931.16;1637.9200;77.6648;0.1098;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;  ;0.0;0.0
